[2025-08-09 09:43:32,650: INFO: main: Welcome to cnnClassifier]
[2025-08-09 10:53:59,406: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-09 10:53:59,440: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-09 10:53:59,784: INFO: common: created directory at: artifacts]
[2025-08-09 10:53:59,784: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-09 10:53:59,792: INFO: 1983665874: Downloading data from https://drive.google.com/file/d/1gpoyNEOCurZmX9rxk7zzeTnA9Ft3gSl5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-09 10:54:25,126: INFO: 1983665874: Downloaded data from https://drive.google.com/file/d/1gpoyNEOCurZmX9rxk7zzeTnA9Ft3gSl5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-09 11:06:26,938: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-08-09 11:06:26,938: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-09 11:06:26,938: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-09 11:06:26,938: INFO: common: created directory at: artifacts]
[2025-08-09 11:06:26,938: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-09 11:06:26,938: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1gpoyNEOCurZmX9rxk7zzeTnA9Ft3gSl5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-09 11:06:38,996: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1gpoyNEOCurZmX9rxk7zzeTnA9Ft3gSl5/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-09 11:06:39,563: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
